timestamp[s] pos_x[m] pos_y[m] pos_z[m] rot_x rot_y rot_z rot_w quality
458.063 0.910847 -0.951547 -14.3765 -0.0181903 0.00471766 0.998197 0.0570066 1
458.163 0.913204 -0.923769 -14.3767 -0.0190625 0.00373716 0.998169 0.0572853 1
458.263 0.91478 -0.897434 -14.3788 -0.0208247 0.00280282 0.998128 0.0574296 1
458.368 0.917474 -0.869881 -14.3767 -0.0207509 0.00342547 0.998102 0.0578857 1
458.468 0.918814 -0.842309 -14.3769 -0.0204881 0.00414376 0.998102 0.0579313 1
458.568 0.920891 -0.815061 -14.3753 -0.0194456 0.00480685 0.998143 0.0575258 1
458.668 0.926189 -0.785313 -14.3755 -0.018353 0.00515477 0.998183 0.0571584 1
458.768 0.930802 -0.75749 -14.3756 -0.0187198 0.00502644 0.998199 0.0567798 1
458.869 0.934998 -0.725435 -14.3742 -0.0188423 0.00500144 0.998203 0.0566622 1
458.969 0.93669 -0.691402 -14.375 -0.019316 0.00594359 0.99847 0.0514688 1
459.064 0.938245 -0.657514 -14.373 -0.0199337 0.00626471 0.999015 0.039143 1
459.164 0.940977 -0.619796 -14.3733 -0.0214715 0.00524903 0.999367 0.0278632 1
459.264 0.944 -0.586473 -14.3719 -0.0223129 0.00388168 0.999519 0.0211878 1
459.364 0.941892 -0.55217 -14.3679 -0.0243127 0.00165338 0.999515 0.0194033 1
459.469 0.941089 -0.519487 -14.3631 -0.0231281 -0.000158626 0.999547 0.0192729 1
459.569 0.939258 -0.491976 -14.3606 -0.021059 2.85286e-05 0.999595 0.0191568 1
459.669 0.939233 -0.461266 -14.3567 -0.0188211 -0.000127862 0.999651 0.0185344 1
459.769 0.940403 -0.431106 -14.3593 -0.0153249 0.000716459 0.999705 0.0188118 1
459.869 0.942602 -0.401819 -14.3613 -0.0146283 2.97398e-06 0.999711 0.019082 1
459.969 0.943938 -0.375308 -14.3658 -0.0157089 -0.00123251 0.999702 0.0186555 1
460.069 0.94523 -0.346771 -14.3711 -0.0179339 -0.0014612 0.999656 0.0190985 1
460.169 0.946331 -0.319916 -14.374 -0.0170274 -0.0038851 0.999661 0.0193092 1
460.269 0.948014 -0.291307 -14.3744 -0.0175077 -0.0077703 0.999623 0.0196467 1
460.369 0.948386 -0.263851 -14.3752 -0.0180697 -0.00835309 0.999605 0.0198279 1
460.469 0.948979 -0.23676 -14.3774 -0.0168488 -0.00622116 0.999643 0.0197881 1
460.569 0.948484 -0.212347 -14.3769 -0.0174856 -0.00235407 0.999651 0.0196622 1
460.669 0.952054 -0.190227 -14.3737 -0.0188202 -0.000581081 0.999634 0.0194214 1
460.769 0.954854 -0.164356 -14.3711 -0.0201984 -0.0016299 0.999598 0.0198392 1
460.869 0.953547 -0.142422 -14.3685 -0.0207101 -0.00336638 0.999578 0.0200735 1
460.969 0.955211 -0.118338 -14.3717 -0.0197461 -0.00451852 0.999566 0.0214116 1
461.069 0.954372 -0.0955517 -14.3711 -0.0175873 -0.00358391 0.999601 0.0217967 1
461.169 0.953806 -0.0698656 -14.3699 -0.0165466 -0.00274219 0.999604 0.022573 1
461.264 0.952692 -0.0499275 -14.374 -0.0167442 -0.00188076 0.999581 0.0235362 1
461.364 0.950317 -0.0298631 -14.3795 -0.0167217 -0.000865877 0.999572 0.0239846 1
461.464 0.952423 -0.00913797 -14.3803 -0.0179245 -0.000346611 0.999548 0.024113 1
461.564 0.956427 0.0140949 -14.3841 -0.0182532 -0.000153295 0.999552 0.0237244 1
461.664 0.959397 0.0376436 -14.3875 -0.0176865 0.000788942 0.999543 0.0245044 1
461.764 0.962921 0.0603391 -14.3876 -0.0173932 0.000588299 0.999536 0.0250088 1
461.864 0.968569 0.0855843 -14.388 -0.0173689 0.000714992 0.99953 0.0252436 1
461.964 0.974731 0.1116 -14.3899 -0.0185764 0.00132701 0.999515 0.0249609 1
462.064 0.975834 0.136829 -14.3855 -0.0197298 -8.22137e-05 0.999516 0.0240713 1
462.164 0.973448 0.159956 -14.3845 -0.0200516 -0.00206043 0.999526 0.0232531 1
462.264 0.97342 0.183659 -14.3851 -0.0197043 -0.00333917 0.999525 0.0234729 1
462.364 0.970465 0.207258 -14.3841 -0.0189725 -0.00295886 0.999524 0.0241461 1
462.464 0.969971 0.232712 -14.3843 -0.018276 -0.0019435 0.999527 0.0246466 1
462.569 0.967179 0.259474 -14.3865 -0.0183987 -0.00202922 0.999538 0.0241185 1
462.669 0.96711 0.281143 -14.3872 -0.017705 -0.00113245 0.999537 0.0247231 1
462.769 0.970385 0.305021 -14.3896 -0.0175415 -0.00174082 0.999471 0.0273203 1
462.869 0.975838 0.32835 -14.3922 -0.0171318 -0.00284586 0.99927 0.0340297 1
462.969 0.979003 0.350296 -14.3932 -0.0171449 -0.00261139 0.998986 0.0415438 1
463.069 0.982978 0.371143 -14.3948 -0.0180525 -0.00160168 0.998607 0.0495556 1
463.169 0.986504 0.391465 -14.3912 -0.0189461 -0.000800977 0.99811 0.0584597 1
463.269 0.989765 0.410379 -14.39 -0.0203059 -0.000862242 0.997547 0.0669815 1
